game,traj_dir,steps,safety_cost,reward,positive_cost,pearson_corr,pearson_corr_rectified,game_numeric,corr_diff
aegis-project-180-files,trajectories/drrn,190,198,115,198,0.7727471039658428,0.5472222700837905,1,-0.22552483388205224
aegis-project-180-files,trajectories/drrn,173,162,57,162,0.7727471039658428,0.5472222700837905,1,-0.22552483388205224
aegis-project-180-files,trajectories/drrn,162,164,55,164,0.7727471039658428,0.5472222700837905,1,-0.22552483388205224
aegis-project-180-files,trajectories/drrn,166,164,60,164,0.7727471039658428,0.5472222700837905,1,-0.22552483388205224
aegis-project-180-files,trajectories/drrn,166,167,80,167,0.7727471039658428,0.5472222700837905,1,-0.22552483388205224
aegis-project-180-files,trajectories/drrn,161,151,48,151,0.7727471039658428,0.5472222700837905,1,-0.22552483388205224
aegis-project-180-files,trajectories/drrn,154,145,53,145,0.7727471039658428,0.5472222700837905,1,-0.22552483388205224
aegis-project-180-files,trajectories/drrn,161,141,57,141,0.7727471039658428,0.5472222700837905,1,-0.22552483388205224
aegis-project-180-files,trajectories/drrn,165,163,70,163,0.7727471039658428,0.5472222700837905,1,-0.22552483388205224
aegis-project-180-files,trajectories/drrn,168,168,66,168,0.7727471039658428,0.5472222700837905,1,-0.22552483388205224
aegis-project-180-files,trajectories/drrn,177,187,116,187,0.7727471039658428,0.5472222700837905,1,-0.22552483388205224
aegis-project-180-files,trajectories/drrn,174,163,62,163,0.7727471039658428,0.5472222700837905,1,-0.22552483388205224
aegis-project-180-files,trajectories/drrn,171,165,52,165,0.7727471039658428,0.5472222700837905,1,-0.22552483388205224
aegis-project-180-files,trajectories/drrn,191,193,147,193,0.7727471039658428,0.5472222700837905,1,-0.22552483388205224
aegis-project-180-files,trajectories/drrn,168,169,72,169,0.7727471039658428,0.5472222700837905,1,-0.22552483388205224
aegis-project-180-files,trajectories/drrn,166,154,75,154,0.7727471039658428,0.5472222700837905,1,-0.22552483388205224
aegis-project-180-files,trajectories/drrn,170,154,60,154,0.7727471039658428,0.5472222700837905,1,-0.22552483388205224
aegis-project-180-files,trajectories/drrn,161,151,62,151,0.7727471039658428,0.5472222700837905,1,-0.22552483388205224
aegis-project-180-files,trajectories/drrn,167,176,71,176,0.7727471039658428,0.5472222700837905,1,-0.22552483388205224
aegis-project-180-files,trajectories/drrn,163,158,65,158,0.7727471039658428,0.5472222700837905,1,-0.22552483388205224
aegis-project-180-files,trajectories/drrn,172,157,46,157,0.7727471039658428,0.5472222700837905,1,-0.22552483388205224
aegis-project-180-files,trajectories/drrn,171,169,66,169,0.7727471039658428,0.5472222700837905,1,-0.22552483388205224
aegis-project-180-files,trajectories/drrn,162,158,60,158,0.7727471039658428,0.5472222700837905,1,-0.22552483388205224
aegis-project-180-files,trajectories/drrn,193,192,130,192,0.7727471039658428,0.5472222700837905,1,-0.22552483388205224
aegis-project-180-files,trajectories/drrn,178,182,200,182,0.7727471039658428,0.5472222700837905,1,-0.22552483388205224
aegis-project-180-files,trajectories/drrn,179,187,135,187,0.7727471039658428,0.5472222700837905,1,-0.22552483388205224
alexandria,trajectories/drrn,56,48,30,48,-0.5552194705020057,0.029585434950525596,2,0.5848049054525313
alexandria,trajectories/drrn,53,54,10,54,-0.5552194705020057,0.029585434950525596,2,0.5848049054525313
alexandria,trajectories/drrn,51,41,5,41,-0.5552194705020057,0.029585434950525596,2,0.5848049054525313
alexandria,trajectories/drrn,53,45,10,45,-0.5552194705020057,0.029585434950525596,2,0.5848049054525313
alexandria,trajectories/drrn,49,48,5,48,-0.5552194705020057,0.029585434950525596,2,0.5848049054525313
alexandria,trajectories/drrn,51,42,20,42,-0.5552194705020057,0.029585434950525596,2,0.5848049054525313
alexandria,trajectories/drrn,53,41,10,41,-0.5552194705020057,0.029585434950525596,2,0.5848049054525313
alexandria,trajectories/drrn,50,51,10,51,-0.5552194705020057,0.029585434950525596,2,0.5848049054525313
